File Name,Positive Score,Negative Score
2022-01-01,0.5,0.5
2022-01-02,0.5,0.5
2022-01-03,0.5,0.5
2022-01-04,0.5,0.5
2022-01-05,0.5,0.5
2022-01-06,0.5,0.5
2022-01-07,0.5,0.5
2022-01-08,0.5,0.5
2022-01-09,0.5,0.5
2022-01-10,0.5,0.5
2022-01-11,0.5,0.5
2022-01-12,0.5,0.5
2022-01-13,0.5,0.5
2022-01-14,0.5,0.5
2022-01-15,0.5,0.5
2022-01-16,0.5,0.5
2022-01-17,0.5,0.5
2022-01-18,0.5,0.5
2022-01-19,0.5,0.5
2022-01-20,0.5,0.5
2022-01-21,0.5,0.5
2022-01-22,0.5,0.5
2022-01-23,0.5,0.5
2022-01-24,0.5,0.5
2022-01-25,0.5,0.5
2022-01-26,0.5,0.5
2022-01-27,0.5,0.5
2022-01-28,0.5,0.5
2022-01-29,0.5,0.5
2022-01-30,0.5,0.5
2022-01-31,0.5,0.5
2022-02-01,0.5,0.5
2022-02-02,0.5,0.5
2022-02-03,0.5,0.5
2022-02-04,0.5,0.5
2022-02-05,0.5,0.5
2022-02-06,0.5,0.5
2022-02-07,0.5,0.5
2022-02-08,0.5,0.5
2022-02-09,0.5,0.5
2022-02-10,0.5,0.5
2022-02-11,0.5,0.5
2022-02-12,0.5,0.5
2022-02-13,0.5,0.5
2022-02-14,0.5,0.5
2022-02-15,0.5,0.5
2022-02-16,0.5,0.5
2022-02-17,0.5,0.5
2022-02-18,0.5,0.5
2022-02-19,0.5,0.5
2022-02-20,0.5,0.5
2022-02-21,0.5,0.5
2022-02-22,0.5,0.5
2022-02-23,0.5,0.5
2022-02-24,0.5,0.5
2022-02-25,0.5,0.5
2022-02-26,0.5,0.5
2022-02-27,0.5,0.5
2022-02-28,0.5,0.5
2022-03-01,0.5,0.5
2022-03-02,0.5,0.5
2022-03-03,0.5,0.5
2022-03-04,0.5,0.5
2022-03-05,0.5,0.5
2022-03-06,0.5,0.5
2022-03-07,0.5,0.5
2022-03-08,0.5,0.5
2022-03-09,0.5,0.5
2022-03-10,0.9958018660545349,0.004198149312287569
2022-03-11,0.5,0.5
2022-03-12,0.5,0.5
2022-03-13,0.5,0.5
2022-03-14,0.5,0.5
2022-03-15,0.5,0.5
2022-03-16,0.5,0.5
2022-03-17,0.5,0.5
2022-03-18,0.5,0.5
2022-03-19,0.5,0.5
2022-03-20,0.5,0.5
2022-03-21,0.5,0.5
2022-03-22,0.5,0.5
2022-03-23,0.5,0.5
2022-03-24,0.5,0.5
2022-03-25,0.5,0.5
2022-03-26,0.5,0.5
2022-03-27,0.5,0.5
2022-03-28,0.5,0.5
2022-03-29,0.5,0.5
2022-03-30,0.5,0.5
2022-03-31,0.5,0.5
2022-04-01,0.5,0.5
2022-04-02,0.5,0.5
2022-04-03,0.5,0.5
2022-04-04,0.5,0.5
2022-04-05,0.5,0.5
2022-04-06,0.5,0.5
2022-04-07,0.5,0.5
2022-04-08,0.5,0.5
2022-04-09,0.5,0.5
2022-04-10,0.5,0.5
2022-04-11,0.5,0.5
2022-04-12,0.5,0.5
2022-04-13,0.5,0.5
2022-04-14,0.5,0.5
2022-04-15,0.5,0.5
2022-04-16,0.5,0.5
2022-04-17,0.5,0.5
2022-04-18,0.5,0.5
2022-04-19,0.5,0.5
2022-04-20,0.5,0.5
2022-04-21,0.5,0.5
2022-04-22,0.5,0.5
2022-04-23,0.5,0.5
2022-04-24,0.5,0.5
2022-04-25,0.9978697299957275,0.002130253938958049
2022-04-26,0.5,0.5
2022-04-27,0.5,0.5
2022-04-28,0.5,0.5
2022-04-29,0.5,0.5
2022-04-30,0.5,0.5
2022-05-01,0.5,0.5
2022-05-02,0.5,0.5
2022-05-03,0.5,0.5
2022-05-04,0.5,0.5
2022-05-05,0.5,0.5
2022-05-06,0.5,0.5
2022-05-07,0.5,0.5
2022-05-08,0.5,0.5
2022-05-09,0.5,0.5
2022-05-10,0.99954754114151,0.0004524726537056267
2022-05-11,0.5,0.5
2022-05-12,0.5,0.5
2022-05-13,0.5,0.5
2022-05-14,0.5,0.5
2022-05-15,0.5,0.5
2022-05-16,0.5,0.5
2022-05-17,0.5,0.5
2022-05-18,0.5,0.5
2022-05-19,0.5,0.5
2022-05-20,0.5,0.5
2022-05-21,0.5,0.5
2022-05-22,0.5,0.5
2022-05-23,0.5,0.5
2022-05-24,0.5,0.5
2022-05-25,0.5,0.5
2022-05-26,0.5,0.5
2022-05-27,0.5,0.5
2022-05-28,0.5,0.5
2022-05-29,0.5,0.5
2022-05-30,0.5,0.5
2022-05-31,0.5,0.5
2022-06-01,0.5,0.5
2022-06-02,0.5,0.5
2022-06-03,0.5,0.5
2022-06-04,0.5,0.5
